P_{w;su;exp},T_{w;su;exp},P_{w;ex;exp},T_{w;ex;exp},N_{rot},R_{elec},T_{amb},M_{dot;w},W_{dot;el;exp},T_{exp;sideVolute},T_{exp;backVolute},T_{exp;shaft},T_{exp;exShaftUp},T_{exp;exShaftLeft},epsilon_s
6.608082004,189.6896008,1.096684669,94.7521274,3877.612353,0.6,48.40704511,6.413752971,411.8105025,123.1506205,118.6210745,128.5301516,122.0936115,121.3001675,20.22698681
6.281215229,187.3737819,1.098546956,95.03898341,4475.645055,0.8,49.63667853,6.360798378,434.6350073,121.0473856,118.5405209,129.7076808,122.5670447,121.3736481,22.17710686
6.482619758,189.0182578,1.102992019,95.40483501,4780.269645,0.8,50.65221105,6.696400234,488.7251522,121.4008256,119.0840328,130.3394991,123.1871215,121.9550823,23.30272636
4.56422679,176.4242455,1.039849063,88.14463758,1497.396476,0.6,36.57842787,4.012417428,71.41762139,119.4929159,107.6176198,105.4524436,106.432586,104.0549169,6.816183754
4.777776709,178.5118753,1.043980912,88.46620906,1430.460424,0.4,38.34947907,4.065837416,84.67713379,124.6698173,112.6314012,121.9653633,112.4561527,107.7167636,7.751162198
4.945748525,175.094256,1.045790218,88.57214293,1094.403829,0.2,39.36377497,4.114556046,73.83223591,125.3927883,113.5756826,120.3715277,114.6523935,113.6095937,6.579567042
5.462726666,175.9904495,1.046862243,88.77326293,555.1510984,0.1,40.3445464,4.073059229,39.15472273,127.923042,114.3000307,118.1380908,114.9049867,114.1088268,3.327760384
6.188822098,184.2215029,1.054692992,88.92607334,638.2337478,0.1,41.61458318,4.609639624,55.27312698,131.6130696,117.753077,121.866055,119.4155808,117.5080291,3.857332738
5.561762202,180.6543691,1.056943267,89.24042605,1249.458672,0.2,43.09222459,4.606084024,93.16884469,129.1740148,119.4656499,130.3110022,121.4946664,119.8634096,6.926313955
5.976744058,201.6871106,1.056853,89.45002623,2198.342576,0.4,44.30741189,4.54836212,184.0858053,132.804692,124.5148725,138.4406356,126.8016048,125.0451916,12.9472311
5.869866767,200.9501831,1.052446199,89.6179838,2643.038366,0.6,44.02176458,4.624384383,199.4316058,134.4193485,127.9769054,143.9812875,130.6087812,128.8403477,13.9104237
5.613374842,196.9372089,1.044936523,89.27082578,3050.973664,0.8,43.81419868,4.625023851,212.2956859,133.44734,129.0677738,146.4994045,131.9662095,130.5860731,15.19091606
5.326946894,189.5056722,1.044682943,89.1370076,3499.823687,1,43.65389874,4.763278987,219.3137039,129.4046061,127.3704172,147.4275409,130.5624867,129.4572137,15.84688288
5.079824448,189.9939252,1.045217005,88.89644314,4469.831126,1.4,43.37693702,4.844135461,251.9936129,126.1494866,126.2443144,149.5971594,130.3119797,128.4918101,18.38209015
4.930999693,189.0728302,1.046313129,88.84015916,5382.280882,1.8,43.22691682,5.053201739,285.0610349,124.7585862,125.7118553,151.1026549,130.283969,128.3707755,20.31945971
4.745808391,184.5042274,1.047809832,88.97246783,5834.533105,2.1,42.87266134,4.816841404,252.4417917,121.7285262,124.784975,152.367409,129.8140952,127.6766131,19.45855361
4.683829732,185.5787394,1.048101073,88.78432687,6635.831561,3.2,42.83562546,4.832418289,253.0302191,122.4358319,126.8656395,156.8367695,131.7648618,129.7072826,19.5684347
